釜元　豪, (ソ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
嘉弥真　新也, (ソ), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
サファテ, (ソ), 右打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
スアレス, (ソ), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
攝津　正, (ソ), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武田　翔太, (ソ), 右打ち, 27試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
塚田　正義, (ソ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
寺原　隼人, (ソ), 右打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中田　賢一, (ソ), 右打ち, 17試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
バリオス, (ソ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
バンデンハーク, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
東浜　巨, (ソ), 右打ち, 23試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
松坂　大輔, (ソ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　裕樹, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
森　唯斗, (ソ), 右打ち, 56試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
森福　允彦, (ソ), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
柳瀬　明宏, (ソ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山田　大樹, (ソ), 左打ち, 4試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
和田　毅, (ソ), 左打ち, 24試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
阿部　和成, (ロ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
イ・デウン, (ロ), 左打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　歩, (ロ), 右打ち, 23試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
