吉持　亮汰, (楽), 右打ち, 21試合, 打率0.161, 37打席, 5安打, 0本塁打, 1打点, 6三振, 長打率0.226
奥浪　鏡, (オ), 右打ち, 15試合, 打率0.265, 42打席, 9安打, 0本塁打, 1打点, 11三振, 長打率0.324
武田　健吾, (オ), 右打ち, 10試合, 打率0.100, 20打席, 2安打, 0本塁打, 1打点, 3三振, 長打率0.200
武田　健吾, (オ), 右打ち, 10試合, 打率0.100, 20打席, 2安打, 0本塁打, 1打点, 3三振, 長打率0.200
中村　一生, (オ), 右打ち, 7試合, 打率0.200, 5打席, 1安打, 0本塁打, 1打点, 1三振, 長打率0.400
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
伏見　寅威, (オ), 右打ち, 17試合, 打率0.242, 35打席, 8安打, 0本塁打, 1打点, 6三振, 長打率0.242
ボグセビック, (オ), 左打ち, 60試合, 打率0.187, 193打席, 32安打, 3本塁打, 18打点, 48三振, 長打率0.322
野間　峻祥, (広), 左打ち, 21試合, 打率0.292, 25打席, 7安打, 0本塁打, 1打点, 3三振, 長打率0.292
野間　峻祥, (広), 左打ち, 21試合, 打率0.292, 25打席, 7安打, 0本塁打, 1打点, 3三振, 長打率0.292
アンダーソン, (巨), 左打ち, 3試合, 打率0.250, 12打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.250
阿部　慎之助, (巨), 左打ち, 91試合, 打率0.310, 387打席, 104安打, 12本塁打, 52打点, 55三振, 長打率0.457
桜井　俊貴, (巨), 右打ち, 1試合, 打率0.000, 2打席, 0安打, 0本塁打, 1打点, 1三振, 長打率0.000
鈴木　尚広, (巨), 両打ち, 44試合, 打率0.300, 10打席, 3安打, 0本塁打, 1打点, 3三振, 長打率0.300
寺内　崇幸, (巨), 右打ち, 55試合, 打率0.129, 33打席, 4安打, 0本塁打, 1打点, 11三振, 長打率0.161
松本　哲也, (巨), 左打ち, 52試合, 打率0.174, 77打席, 12安打, 0本塁打, 1打点, 22三振, 長打率0.217
今永　昇太, (デ), 左打ち, 22試合, 打率0.139, 43打席, 5安打, 0本塁打, 1打点, 13三振, 長打率0.139
久保　康友, (デ), 右打ち, 15試合, 打率0.074, 30打席, 2安打, 0本塁打, 1打点, 16三振, 長打率0.074
